Código,Caja,Anaquel,Nivel,Sede
000000JD,C0001,11,3,PATRIOTISMO
000001JD,C0001,11,3,PATRIOTISMO
000002JD,C0001,11,3,PATRIOTISMO
000003JD,C0001,11,3,PATRIOTISMO
000004JD,C0001,11,3,PATRIOTISMO
000005JD,C0001,11,3,PATRIOTISMO
000006JD,C0001,11,3,PATRIOTISMO
000007JD,C0001,11,3,PATRIOTISMO
000008JD,C0001,11,3,PATRIOTISMO
000009JD,C0001,11,3,PATRIOTISMO
000010JD,C0001,11,3,PATRIOTISMO
000011JD,C0001,11,3,PATRIOTISMO
000012JD,C0001,11,3,PATRIOTISMO
000013JD,C0001,11,3,PATRIOTISMO
000014JD,C0001,11,3,PATRIOTISMO
000015JD,C0001,11,3,PATRIOTISMO
000016JD,C0001,11,3,PATRIOTISMO
000017JD,C0001,11,3,PATRIOTISMO
000018JD,C0001,11,3,PATRIOTISMO
000019JD,C0001,11,3,PATRIOTISMO
021568JD,C0090,2,2,TOLUCA
021569JD,C0091,2,1,TOLUCA
021570JD,C0091,2,1,TOLUCA
021571JD,C0093,2,1,TOLUCA
021572JD,C0091,2,1,TOLUCA
021573JD,C0090,2,2,TOLUCA
021575JD,C0091,2,1,TOLUCA
021576JD,C0025,9,3,TOLUCA
021949JD,C0060,6,1,TOLUCA
022000JD,C0023,10,1,TOLUCA
022001JD,C0088,2,2,TOLUCA
022002JD,C0088,2,2,TOLUCA
022003JD,C0093,2,1,TOLUCA
022004JD,C0049,6,3,TOLUCA
022006JD,C0060,6,1,TOLUCA
022007JD,C0085,2,3,TOLUCA
022009JD,C0048,7,1,TOLUCA
022010JD,C0090,2,2,TOLUCA
022013JD,C0086,2,3,TOLUCA
022015JD,C0079,4,1,TOLUCA
022017JD,C0093,2,1,TOLUCA
022018JD,C0024,10,1,TOLUCA
022019JD,C0049,6,3,TOLUCA
022020JD,C0083,4,1,TOLUCA
022021JD,C0084,4,1,TOLUCA
022023JD,C0085,2,3,TOLUCA
022025JD,C0085,2,3,TOLUCA
022026JD,C0022,10,1,TOLUCA
022037JD,C0043,7,1,TOLUCA
022038JD,C0078,4,2,TOLUCA
022039JD,C0079,4,1,TOLUCA
022040JD,C0043,7,1,TOLUCA
022041JD,C0078,4,2,TOLUCA
022042JD,C0078,4,2,TOLUCA
022043JD,C0093,2,1,TOLUCA
022044JD,C0025,9,3,TOLUCA
022045JD,C0024,10,1,TOLUCA
022046JD,C0085,2,3,TOLUCA
022047JD,C0085,2,3,TOLUCA
022049JD,C0049,6,3,TOLUCA
022050JD,C0041,7,2,TOLUCA
022055JD,C0081,4,1,TOLUCA
022056JD,C0079,4,1,TOLUCA
022057JD,C0079,4,1,TOLUCA
022058JD,C0079,4,1,TOLUCA
022059JD,C0080,4,1,TOLUCA
022060JD,C0080,4,1,TOLUCA
022061JD,C0093,2,1,TOLUCA
022062JD,C0060,6,1,TOLUCA
022064JD,C0033,9,1,TOLUCA
022067JD,C0035,9,1,TOLUCA
022068JD,C0035,9,1,TOLUCA
022069JD,C0035,9,1,TOLUCA
022070JD,C0085,2,3,TOLUCA
022073JD,C0035,9,1,TOLUCA
022074JD,C0093,2,1,TOLUCA
022075JD,C0087,2,3,TOLUCA
022076JD,C0020,10,1,TOLUCA
022077JD,C0036,9,1,TOLUCA
022078JD,C0079,4,1,TOLUCA
022079JD,C0025,9,3,TOLUCA
022090JD,C0023,10,1,TOLUCA
022093JD,C0090,2,2,TOLUCA
022094JD,C0029,9,2,TOLUCA
022096JD,C0029,9,2,TOLUCA
022099JD,C0036,9,1,TOLUCA
022100JD,C0036,9,1,TOLUCA
022103JD,C0049,6,3,TOLUCA
022104JD,C0028,9,2,TOLUCA
022106JD,C0028,9,2,TOLUCA
022107JD,C0050,6,3,TOLUCA
022109JD,C0025,9,3,TOLUCA
022110JD,C0029,9,2,TOLUCA
022111JD,C0036,9,1,TOLUCA
022112JD,C0090,2,2,TOLUCA
022113JD,C0049,6,3,TOLUCA
022114JD,C0090,2,2,TOLUCA
022115JD,C0089,2,2,TOLUCA
022116JD,C0041,7,2,TOLUCA
022119JD,C0089,2,2,TOLUCA
022120JD,C0035,9,1,TOLUCA
022121JD,C0089,2,2,TOLUCA
022122JD,C0043,7,1,TOLUCA
022123JD,C0049,6,3,TOLUCA
022127JD,C0035,9,1,TOLUCA
022128JD,C0089,2,2,TOLUCA
022129JD,C0090,2,2,TOLUCA
022130JD,C0090,2,2,TOLUCA
022131JD,C0078,4,2,TOLUCA
022132JD,C0084,4,1,TOLUCA
022133JD,C0033,9,1,TOLUCA
022134JD,C0023,10,1,TOLUCA
022136JD,C0084,4,1,TOLUCA
022138JD,C0084,4,1,TOLUCA
022141JD,C0084,4,1,TOLUCA
022142JD,C0084,4,1,TOLUCA
022145JD,C0035,9,1,TOLUCA
022146JD,C0081,4,1,TOLUCA
022147JD,C0081,4,1,TOLUCA
022148JD,C0091,2,1,TOLUCA
022149JD,C0049,6,3,TOLUCA
022150JD,C0083,4,1,TOLUCA
022151JD,C0078,4,2,TOLUCA
022153JD,C0024,10,1,TOLUCA
022163JD,C0087,2,3,TOLUCA
022164JD,C0093,2,1,TOLUCA
022165JD,C0049,6,3,TOLUCA
022166JD,C0080,4,1,TOLUCA
022167JD,C0028,9,2,TOLUCA
022168JD,C0085,2,3,TOLUCA
022169JD,C0085,2,3,TOLUCA
022172JD,C0081,4,1,TOLUCA
022173JD,C0086,2,3,TOLUCA
022174JD,C0085,2,3,TOLUCA
022175JD,C0043,7,1,TOLUCA
022176JD,C0043,7,1,TOLUCA
022177JD,C0081,4,1,TOLUCA
022178JD,C0081,4,1,TOLUCA
022179JD,C0080,4,1,TOLUCA
022190JD,C0085,2,3,TOLUCA
022191JD,C0081,4,1,TOLUCA
022192JD,C0079,4,1,TOLUCA
022193JD,C0078,4,2,TOLUCA
022194JD,C0078,4,2,TOLUCA
022195JD,C0090,2,2,TOLUCA
022196JD,C0035,9,1,TOLUCA
022209JD,C0088,2,2,TOLUCA
022210JD,C0088,2,2,TOLUCA
022211JD,C0088,2,2,TOLUCA
022212JD,C0085,2,3,TOLUCA
022213JD,C0036,9,1,TOLUCA
022214JD,C0036,9,1,TOLUCA
022218JD,C0085,2,3,TOLUCA
022219JD,C0030,9,2,TOLUCA
022221JD,C0086,2,3,TOLUCA
022222JD,C0084,4,1,TOLUCA
022225JD,C0024,10,1,TOLUCA
022226JD,C0090,2,2,TOLUCA
022232JD,C0087,2,3,TOLUCA
022234JD,C0029,9,2,TOLUCA
022242JD,C0029,9,2,TOLUCA
022243JD,C0035,9,1,TOLUCA
022244JD,C0043,7,1,TOLUCA
022245JD,C0043,7,1,TOLUCA
022246JD,C0043,7,1,TOLUCA
022247JD,C0044,7,1,TOLUCA
022248JD,C0035,9,1,TOLUCA
022249JD,C0044,7,1,TOLUCA
022250JD,C0026,9,3,TOLUCA
022251JD,C0025,9,3,TOLUCA
022257JD,C0050,6,3,TOLUCA
022259JD,C0049,6,3,TOLUCA
022262JD,C0026,9,3,TOLUCA
022263JD,C0078,4,2,TOLUCA
022264JD,C0084,4,1,TOLUCA
022265JD,C0026,9,3,TOLUCA
022266JD,C0084,4,1,TOLUCA
022267JD,C0084,4,1,TOLUCA
022268JD,C0085,2,3,TOLUCA
022269JD,C0081,4,1,TOLUCA
022288JD,C0041,7,2,TOLUCA
022289JD,C0084,4,1,TOLUCA
022290JD,C0093,2,1,TOLUCA
022291JD,C0054,6,2,TOLUCA
022292JD,C0060,6,1,TOLUCA
022294JD,C0060,6,1,TOLUCA
022316JD,C0035,9,1,TOLUCA
022317JD,C0090,2,2,TOLUCA
022318JD,C0049,6,3,TOLUCA
022319JD,C0091,2,1,TOLUCA
022320JD,C0091,2,1,TOLUCA
022322JD,C0036,9,1,TOLUCA
022323JD,C0085,2,3,TOLUCA
022326JD,C0093,2,1,TOLUCA
022328JD,C0037,7,3,TOLUCA
022337JD,C0054,6,2,TOLUCA
022343JD,C0091,2,1,TOLUCA
022344JD,C0025,9,3,TOLUCA
022349JD,C0049,6,3,TOLUCA
022351JD,C0036,9,1,TOLUCA
022360JD,C0025,9,3,TOLUCA
022369JD,C0090,2,2,TOLUCA
022373JD,C0049,6,3,TOLUCA
022374JD,C0087,2,3,TOLUCA
022378JD,C0025,9,3,TOLUCA
022379JD,C0056,6,1,TOLUCA
022381JD,C0085,2,3,TOLUCA
022382JD,C0090,2,2,TOLUCA
022385JD,C0027,9,3,TOLUCA
022386JD,C0078,4,2,TOLUCA
022389JD,C0089,2,2,TOLUCA
022392JD,C0088,2,2,TOLUCA
022396JD,C0087,2,3,TOLUCA
022397JD,C0086,2,3,TOLUCA
022401JD,C0036,9,1,TOLUCA
022403JD,C0079,4,1,TOLUCA
022405JD,C0029,9,2,TOLUCA
022406JD,C0029,9,2,TOLUCA
022407JD,C0027,9,3,TOLUCA
022408JD,C0091,2,1,TOLUCA
022409JD,C0027,9,3,TOLUCA
022410JD,C0027,9,3,TOLUCA
022411JD,C0029,9,2,TOLUCA
022412JD,C0027,9,3,TOLUCA
022413JD,C0027,9,3,TOLUCA
022417JD,C0027,9,3,TOLUCA
022422JD,C0024,10,1,TOLUCA
022424JD,C0032,9,1,TOLUCA
022426JD,C0078,4,2,TOLUCA
022427JD,C0078,4,2,TOLUCA
022428JD,C0030,9,2,TOLUCA
022429JD,C0078,4,2,TOLUCA
022430JD,C0078,4,2,TOLUCA
025249JD,C0030,9,2,TOLUCA
025251JD,C0035,9,1,TOLUCA
025252JD,C0084,4,1,TOLUCA
025254JD,C0054,6,2,TOLUCA
025255JD,C0085,2,3,TOLUCA
025257JD,C0086,2,3,TOLUCA
025269JD,C0035,9,1,TOLUCA
025274JD,C0032,9,1,TOLUCA
025275JD,C0034,9,1,TOLUCA
025276JD,C0037,7,3,TOLUCA
025278JD,C0037,7,3,TOLUCA
025279JD,C0037,7,3,TOLUCA
025283JD,C0049,6,3,TOLUCA
025285JD,C0049,6,3,TOLUCA
025292JD,C0019,10,1,TOLUCA
025293JD,C0018,10,2,TOLUCA
025302JD,C0054,6,2,TOLUCA
025311JD,C0056,6,1,TOLUCA
025314JD,C0093,2,1,TOLUCA
025318JD,C0037,7,3,TOLUCA
025322JD,C0093,2,1,TOLUCA
025323JD,C0084,4,1,TOLUCA
025325JD,C0018,10,2,TOLUCA
025329JD,C0084,4,1,TOLUCA
025334JD,C0027,9,3,TOLUCA
025338JD,C0027,9,3,TOLUCA
025340JD,C0054,6,2,TOLUCA
025343JD,C0032,9,1,TOLUCA
025344JD,C0054,6,2,TOLUCA
025354JD,C0054,6,2,TOLUCA
025355JD,C0088,2,2,TOLUCA
025358JD,C0054,6,2,TOLUCA
025359JD,C0050,6,3,TOLUCA
025360JD,C0058,6,1,TOLUCA
025361JD,C0091,2,1,TOLUCA
025363JD,C0050,6,3,TOLUCA
025364JD,C0093,2,1,TOLUCA
025366JD,C0033,9,1,TOLUCA
025367JD,C0037,7,3,TOLUCA
025373JD,C0032,9,1,TOLUCA
025375JD,C0085,2,3,TOLUCA
025376JD,C0083,4,1,TOLUCA
025377JD,C0085,2,3,TOLUCA
025378JD,C0032,9,1,TOLUCA
025379JD,C0088,2,2,TOLUCA
025380JD,C0088,2,2,TOLUCA
025381JD,C0088,2,2,TOLUCA
025382JD,C0088,2,2,TOLUCA
025389JD,C0083,4,1,TOLUCA
025390JD,C0032,9,1,TOLUCA
025391JD,C0028,9,2,TOLUCA
025396JD,C0088,2,2,TOLUCA
025397JD,C0028,9,2,TOLUCA
025398JD,C0088,2,2,TOLUCA
025399JD,C0018,10,2,TOLUCA
025402JD,C0031,9,1,TOLUCA
025403JD,C0028,9,2,TOLUCA
025404JD,C0028,9,2,TOLUCA
025408JD,C0028,9,2,TOLUCA
025409JD,C0028,9,2,TOLUCA
025425JD,C0028,9,2,TOLUCA
025427JD,C0033,9,1,TOLUCA
025429JD,C0049,6,3,TOLUCA
025430JD,C0087,2,3,TOLUCA
025433JD,C0049,6,3,TOLUCA
025437JD,C0033,9,1,TOLUCA
025438JD,C0087,2,3,TOLUCA
025445JD,C0093,2,1,TOLUCA
025446JD,C0033,9,1,TOLUCA
025458JD,C0086,2,3,TOLUCA
025460JD,C0049,6,3,TOLUCA
025462JD,C0086,2,3,TOLUCA
025465JD,C0084,4,1,TOLUCA
025469JD,C0056,6,1,TOLUCA
025474JD,C0086,2,3,TOLUCA
025475JD,C0093,2,1,TOLUCA
025485JD,C0048,7,1,TOLUCA
025486JD,C0056,6,1,TOLUCA
025489JD,C0033,9,1,TOLUCA
025490JD,C0029,9,2,TOLUCA
025502JD,C0085,2,3,TOLUCA
025505JD,C0037,7,3,TOLUCA
025509JD,C0037,7,3,TOLUCA
025510JD,C0054,6,2,TOLUCA
025521JD,C0054,6,2,TOLUCA
025530JD,C0037,7,3,TOLUCA
025531JD,C0037,7,3,TOLUCA
025536JD,C0048,7,1,TOLUCA
025538JD,C0088,2,2,TOLUCA
025539JD,C0034,9,1,TOLUCA
025541JD,C0026,9,3,TOLUCA
025542JD,C0048,7,1,TOLUCA
025543JD,C0087,2,3,TOLUCA
025544JD,C0027,9,3,TOLUCA
025547JD,C0083,4,1,TOLUCA
025548JD,C0090,2,2,TOLUCA
025549JD,C0090,2,2,TOLUCA
025550JD,C0030,9,2,TOLUCA
025551JD,C0083,4,1,TOLUCA
025552JD,C0031,9,1,TOLUCA
025554JD,C0026,9,3,TOLUCA
025564JD,C0026,9,3,TOLUCA
025569JD,C0030,9,2,TOLUCA
025585JD,C0048,7,1,TOLUCA
025591JD,C0018,10,2,TOLUCA
025592JD,C0048,7,1,TOLUCA
025597JD,C0017,10,2,TOLUCA
025598JD,C0048,7,1,TOLUCA
025603JD,C0048,7,1,TOLUCA
025605JD,C0056,6,1,TOLUCA
025606JD,C0056,6,1,TOLUCA
025607JD,C0017,10,2,TOLUCA
025608JD,C0033,9,1,TOLUCA
025628JD,C0054,6,2,TOLUCA
025629JD,C0087,2,3,TOLUCA
025631JD,C0087,2,3,TOLUCA
025632JD,C0086,2,3,TOLUCA
025633JD,C0087,2,3,TOLUCA
025634JD,C0055,6,1,TOLUCA
025643JD,C0048,7,1,TOLUCA
025644JD,C0048,7,1,TOLUCA
025659JD,C0083,4,1,TOLUCA
025690JD,C0056,6,1,TOLUCA
025691JD,C0048,7,1,TOLUCA
025697JD,C0050,6,3,TOLUCA
025699JD,C0050,6,3,TOLUCA
025700JD,C0027,9,3,TOLUCA
025702JD,C0018,10,2,TOLUCA
025739JD,C0050,6,3,TOLUCA
025742JD,C0054,6,2,TOLUCA
025762JD,C0048,7,1,TOLUCA
025768JD,C0017,10,2,TOLUCA
025780JD,C0017,10,2,TOLUCA
025783JD,C0017,10,2,TOLUCA
025786JD,C0087,2,3,TOLUCA
025826JD,C0081,4,1,TOLUCA
025827JD,C0034,9,1,TOLUCA
025829JD,C0032,9,1,TOLUCA
025830JD,C0048,7,1,TOLUCA
025831JD,C0034,9,1,TOLUCA
025832JD,C0034,9,1,TOLUCA
025833JD,C0032,9,1,TOLUCA
025835JD,C0054,6,2,TOLUCA
025852JD,C0034,9,1,TOLUCA
025853JD,C0031,9,1,TOLUCA
025854JD,C0034,9,1,TOLUCA
025855JD,C0031,9,1,TOLUCA
025856JD,C0032,9,1,TOLUCA
025857JD,C0034,9,1,TOLUCA
025858JD,C0057,6,1,TOLUCA
025859JD,C0034,9,1,TOLUCA
025860JD,C0030,9,2,TOLUCA
025865JD,C0037,7,3,TOLUCA
025898JD,C0019,10,1,TOLUCA
025899JD,C0058,6,1,TOLUCA
025901JD,C0021,10,1,TOLUCA
025902JD,C0021,10,1,TOLUCA
025903JD,C0048,7,1,TOLUCA
025905JD,C0056,6,1,TOLUCA
025907JD,C0050,6,3,TOLUCA
025911JD,C0087,2,3,TOLUCA
025912JD,C0021,10,1,TOLUCA
025913JD,C0030,9,2,TOLUCA
025914JD,C0034,9,1,TOLUCA
025926JD,C0030,9,2,TOLUCA
025927JD,C0019,10,1,TOLUCA
025928JD,C0021,10,1,TOLUCA
025930JD,C0086,2,3,TOLUCA
025932JD,C0083,4,1,TOLUCA
025937JD,C0058,6,1,TOLUCA
025939JD,C0022,10,1,TOLUCA
025942JD,C0028,9,2,TOLUCA
025951JD,C0030,9,2,TOLUCA
025952JD,C0035,9,1,TOLUCA
025953JD,C0087,2,3,TOLUCA
025954JD,C0047,7,1,TOLUCA
025955JD,C0037,7,3,TOLUCA
025958JD,C0021,10,1,TOLUCA
025960JD,C0033,9,1,TOLUCA
025962JD,C0037,7,3,TOLUCA
025965JD,C0042,7,2,TOLUCA
025966JD,C0042,7,2,TOLUCA
025967JD,C0017,10,2,TOLUCA
025969JD,C0084,4,1,TOLUCA
025975JD,C0047,7,1,TOLUCA
025977JD,C0019,10,1,TOLUCA
025978JD,C0019,10,1,TOLUCA
025979JD,C0056,6,1,TOLUCA
025981JD,C0047,7,1,TOLUCA
025983JD,C0047,7,1,TOLUCA
025985JD,C0093,2,1,TOLUCA
025986JD,C0017,10,2,TOLUCA
025988JD,C0047,7,1,TOLUCA
025989JD,C0035,9,1,TOLUCA
025990JD,C0093,2,1,TOLUCA
025991JD,C0047,7,1,TOLUCA
025992JD,C0049,6,3,TOLUCA
025994JD,C0058,6,1,TOLUCA
026000JD,C0049,6,3,TOLUCA
026006JD,C0045,7,1,TOLUCA
026007JD,C0045,7,1,TOLUCA
026008JD,C0045,7,1,TOLUCA
026009JD,C0045,7,1,TOLUCA
026010JD,C0047,7,1,TOLUCA
026011JD,C0040,7,2,TOLUCA
026012JD,C0044,7,1,TOLUCA
026015JD,C0030,9,2,TOLUCA
026016JD,C0039,7,3,TOLUCA
026017JD,C0030,9,2,TOLUCA
026018JD,C0030,9,2,TOLUCA
026019JD,C0030,9,2,TOLUCA
026020JD,C0030,9,2,TOLUCA
026021JD,C0030,9,2,TOLUCA
026023JD,C0079,4,1,TOLUCA
026024JD,C0078,4,2,TOLUCA
026025JD,C0027,9,3,TOLUCA
026026JD,C0081,4,1,TOLUCA
026028JD,C0078,4,2,TOLUCA
026029JD,C0078,4,2,TOLUCA
026030JD,C0088,2,2,TOLUCA
026031JD,C0087,2,3,TOLUCA
026033JD,C0081,4,1,TOLUCA
026034JD,C0044,7,1,TOLUCA
026035JD,C0030,9,2,TOLUCA
026036JD,C0088,2,2,TOLUCA
026037JD,C0029,9,2,TOLUCA
026038JD,C0087,2,3,TOLUCA
026039JD,C0081,4,1,TOLUCA
026050JD,C0038,7,3,TOLUCA
026051JD,C0047,7,1,TOLUCA
026053JD,C0019,10,1,TOLUCA
026054JD,C0019,10,1,TOLUCA
026056JD,C0019,10,1,TOLUCA
026062JD,C0087,2,3,TOLUCA
026063JD,C0087,2,3,TOLUCA
026064JD,C0043,7,1,TOLUCA
026065JD,C0093,2,1,TOLUCA
026066JD,C0043,7,1,TOLUCA
026067JD,C0043,7,1,TOLUCA
026068JD,C0093,2,1,TOLUCA
026069JD,C0043,7,1,TOLUCA
026070JD,C0043,7,1,TOLUCA
026071JD,C0043,7,1,TOLUCA
026072JD,C0078,4,2,TOLUCA
026073JD,C0078,4,2,TOLUCA
026074JD,C0078,4,2,TOLUCA
026075JD,C0043,7,1,TOLUCA
026076JD,C0043,7,1,TOLUCA
026077JD,C0019,10,1,TOLUCA
026079JD,C0034,9,1,TOLUCA
026080JD,C0019,10,1,TOLUCA
026081JD,C0048,7,1,TOLUCA
026086JD,C0040,7,2,TOLUCA
026087JD,C0034,9,1,TOLUCA
026089JD,C0035,9,1,TOLUCA
026090JD,C0084,4,1,TOLUCA
026093JD,C0040,7,2,TOLUCA
026094JD,C0035,9,1,TOLUCA
026095JD,C0034,9,1,TOLUCA
026096JD,C0040,7,2,TOLUCA
026097JD,C0022,10,1,TOLUCA
026098JD,C0084,4,1,TOLUCA
026099JD,C0042,7,2,TOLUCA
026101JD,C0040,7,2,TOLUCA
026103JD,C0028,9,2,TOLUCA
026104JD,C0024,10,1,TOLUCA
026105JD,C0056,6,1,TOLUCA
026106JD,C0058,6,1,TOLUCA
026109JD,C0086,2,3,TOLUCA
026110JD,C0028,9,2,TOLUCA
026111JD,C0044,7,1,TOLUCA
026113JD,C0031,9,1,TOLUCA
026114JD,C0034,9,1,TOLUCA
026115JD,C0047,7,1,TOLUCA
026116JD,C0055,6,1,TOLUCA
026117JD,C0033,9,1,TOLUCA
026119JD,C0078,4,2,TOLUCA
026121JD,C0027,9,3,TOLUCA
026122JD,C0031,9,1,TOLUCA
026125JD,C0033,9,1,TOLUCA
026126JD,C0081,4,1,TOLUCA
026127JD,C0078,4,2,TOLUCA
026128JD,C0036,9,1,TOLUCA
026130JD,C0030,9,2,TOLUCA
026131JD,C0083,4,1,TOLUCA
026132JD,C0084,4,1,TOLUCA
026133JD,C0020,10,1,TOLUCA
026134JD,C0085,2,3,TOLUCA
026136JD,C0044,7,1,TOLUCA
026137JD,C0081,4,1,TOLUCA
026138JD,C0025,9,3,TOLUCA
026141JD,C0031,9,1,TOLUCA
026142JD,C0032,9,1,TOLUCA
026143JD,C0032,9,1,TOLUCA
026144JD,C0030,9,2,TOLUCA
026145JD,C0032,9,1,TOLUCA
026146JD,C0030,9,2,TOLUCA
026147JD,C0028,9,2,TOLUCA
026148JD,C0030,9,2,TOLUCA
026149JD,C0044,7,1,TOLUCA
026150JD,C0044,7,1,TOLUCA
026151JD,C0044,7,1,TOLUCA
026152JD,C0044,7,1,TOLUCA
026153JD,C0044,7,1,TOLUCA
026154JD,C0044,7,1,TOLUCA
026155JD,C0045,7,1,TOLUCA
026156JD,C0044,7,1,TOLUCA
026157JD,C0045,7,1,TOLUCA
026159JD,C0086,2,3,TOLUCA
026160JD,C0049,6,3,TOLUCA
026161JD,C0033,9,1,TOLUCA
026163JD,C0040,7,2,TOLUCA
026164JD,C0020,10,1,TOLUCA
026165JD,C0093,2,1,TOLUCA
026166JD,C0050,6,3,TOLUCA
026167JD,C0046,7,1,TOLUCA
026168JD,C0044,7,1,TOLUCA
026169JD,C0046,7,1,TOLUCA
026170JD,C0046,7,1,TOLUCA
026171JD,C0046,7,1,TOLUCA
026172JD,C0044,7,1,TOLUCA
026173JD,C0046,7,1,TOLUCA
026174JD,C0044,7,1,TOLUCA
026175JD,C0046,7,1,TOLUCA
026177JD,C0081,4,1,TOLUCA
026179JD,C0080,4,1,TOLUCA
026180JD,C0041,7,2,TOLUCA
026184JD,C0085,2,3,TOLUCA
026185JD,C0030,9,2,TOLUCA
026186JD,C0034,9,1,TOLUCA
026187JD,C0039,7,3,TOLUCA
026188JD,C0039,7,3,TOLUCA
026189JD,C0039,7,3,TOLUCA
026190JD,C0046,7,1,TOLUCA
026191JD,C0038,7,3,TOLUCA
026192JD,C0039,7,3,TOLUCA
026193JD,C0086,2,3,TOLUCA
026194JD,C0041,7,2,TOLUCA
026195JD,C0042,7,2,TOLUCA
026196JD,C0041,7,2,TOLUCA
026197JD,C0034,9,1,TOLUCA
026198JD,C0085,2,3,TOLUCA
026201JD,C0041,7,2,TOLUCA
026202JD,C0039,7,3,TOLUCA
026204JD,C0091,2,1,TOLUCA
026205JD,C0087,2,3,TOLUCA
026206JD,C0086,2,3,TOLUCA
026207JD,C0086,2,3,TOLUCA
026208JD,C0045,7,1,TOLUCA
026209JD,C0047,7,1,TOLUCA
026210JD,C0047,7,1,TOLUCA
026212JD,C0039,7,3,TOLUCA
026213JD,C0040,7,2,TOLUCA
026214JD,C0034,9,1,TOLUCA
026218JD,C0033,9,1,TOLUCA
026220JD,C0047,7,1,TOLUCA
026295JD,C0033,9,1,TOLUCA
026298JD,C0033,9,1,TOLUCA
026301JD,C0045,7,1,TOLUCA
026302JD,C0024,10,1,TOLUCA
026304JD,C0041,7,2,TOLUCA
026305JD,C0034,9,1,TOLUCA
026307JD,C0050,6,3,TOLUCA
026309JD,C0034,9,1,TOLUCA
026310JD,C0022,10,1,TOLUCA
026312JD,C0033,9,1,TOLUCA
026313JD,C0033,9,1,TOLUCA
026314JD,C0084,4,1,TOLUCA
026315JD,C0045,7,1,TOLUCA
026316JD,C0090,2,2,TOLUCA
026317JD,C0045,7,1,TOLUCA
026318JD,C0093,2,1,TOLUCA
026319JD,C0057,6,1,TOLUCA
026321JD,C0044,7,1,TOLUCA
026322JD,C0040,7,2,TOLUCA
026323JD,C0040,7,2,TOLUCA
026324JD,C0042,7,2,TOLUCA
026325JD,C0044,7,1,TOLUCA
026326JD,C0044,7,1,TOLUCA
026327JD,C0091,2,1,TOLUCA
026328JD,C0042,7,2,TOLUCA
026333JD,C0033,9,1,TOLUCA
026334JD,C0057,6,1,TOLUCA
026335JD,C0078,4,2,TOLUCA
026338JD,C0036,9,1,TOLUCA
026339JD,C0087,2,3,TOLUCA
026340JD,C0093,2,1,TOLUCA
026341JD,C0017,10,2,TOLUCA
026342JD,C0050,6,3,TOLUCA
026343JD,C0057,6,1,TOLUCA
026344JD,C0049,6,3,TOLUCA
026345JD,C0043,7,1,TOLUCA
026346JD,C0018,10,2,TOLUCA
026356JD,C0044,7,1,TOLUCA
026357JD,C0044,7,1,TOLUCA
026358JD,C0044,7,1,TOLUCA
026359JD,C0045,7,1,TOLUCA
026360JD,C0045,7,1,TOLUCA
026361JD,C0047,7,1,TOLUCA
026362JD,C0044,7,1,TOLUCA
