Código,Caja,Anaquel,Nivel,Sede
B00635JD,C0067,5,1,TOLUCA
B00636JD,C0067,5,1,TOLUCA
B00637JD,C0055,6,1,TOLUCA
B00638JD,C0056,6,1,TOLUCA
B00639JD,C0070,5,1,TOLUCA
B00640JD,C0068,5,1,TOLUCA
B00641JD,C0020,10,1,TOLUCA
B00642JD,C0070,5,1,TOLUCA
B00643JD,C0055,6,1,TOLUCA
B00644JD,C0055,6,1,TOLUCA
B00645JD,C0075,4,3,TOLUCA
B00646JD,C0064,5,2,TOLUCA
B00647JD,C0064,5,2,TOLUCA
B00648JD,C0055,6,1,TOLUCA
B00649JD,C0055,6,1,TOLUCA
B00650JD,C0026,9,3,TOLUCA
B00651JD,C0025,9,3,TOLUCA
B00652JD,C0046,7,1,TOLUCA
B00653JD,C0026,9,3,TOLUCA
B00654JD,C0025,9,3,TOLUCA
B00655JD,C0038,7,3,TOLUCA
B00656JD,C0021,10,1,TOLUCA
B00657JD,C0082,4,1,TOLUCA
B00658JD,C0038,7,3,TOLUCA
B00659JD,C0031,9,1,TOLUCA
B00660JD,C0031,9,1,TOLUCA
B00661JD,C0018,10,2,TOLUCA
B00662JD,C0037,7,3,TOLUCA
B00663JD,C0037,7,3,TOLUCA
B00664JD,C0031,9,1,TOLUCA
B00665JD,C0031,9,1,TOLUCA
B00666JD,C0031,9,1,TOLUCA
B00667JD,C0063,5,3,TOLUCA
B00668JD,C0018,10,2,TOLUCA
B00669JD,C0075,4,3,TOLUCA
B00670JD,C0031,9,1,TOLUCA
B00671JD,C0058,6,1,TOLUCA
B00672JD,C0070,5,1,TOLUCA
B00673JD,C0046,7,1,TOLUCA
B00674JD,C0068,5,1,TOLUCA
B00675JD,C0070,5,1,TOLUCA
B00676JD,C0054,6,2,TOLUCA
B00677JD,C0038,7,3,TOLUCA
B00678JD,C0069,5,1,TOLUCA
B00679JD,C0068,5,1,TOLUCA
B00680JD,C0040,7,2,TOLUCA
B00681JD,C0052,6,2,TOLUCA
B00682JD,C0052,6,2,TOLUCA
B00683JD,C0050,6,3,TOLUCA
B00684JD,C0053,6,2,TOLUCA
B00685JD,C0076,4,2,TOLUCA
B00686JD,C0075,4,3,TOLUCA
B00687JD,C0064,5,2,TOLUCA
B00688JD,C0065,5,2,TOLUCA
B00689JD,C0067,5,1,TOLUCA
B00690JD,C0077,4,2,TOLUCA
B00691JD,C0053,6,2,TOLUCA
B00692JD,C0064,5,2,TOLUCA
B00693JD,C0064,5,2,TOLUCA
B00694JD,C0070,5,1,TOLUCA
B00695JD,C0018,10,2,TOLUCA
B00696JD,C0068,5,1,TOLUCA
B00697JD,C0068,5,1,TOLUCA
B00698JD,C0068,5,1,TOLUCA
B00699JD,C0067,5,1,TOLUCA
B00700JD,C0070,5,1,TOLUCA
B00701JD,C0070,5,1,TOLUCA
B00702JD,C0070,5,1,TOLUCA
B00703JD,C0068,5,1,TOLUCA
B00704JD,C0091,2,1,TOLUCA
B00705JD,C0023,10,1,TOLUCA
B00706JD,C0020,10,1,TOLUCA
B00707JD,C0069,5,1,TOLUCA
B00708JD,C0069,5,1,TOLUCA
B00709JD,C0069,5,1,TOLUCA
B00710JD,C0069,5,1,TOLUCA
B00711JD,C0056,6,1,TOLUCA
B00712JD,C0067,5,1,TOLUCA
B00713JD,C0067,5,1,TOLUCA
B00714JD,C0067,5,1,TOLUCA
B00715JD,C0058,6,1,TOLUCA
B00716JD,C0061,5,3,TOLUCA
B00717JD,C0061,5,3,TOLUCA
B00718JD,C0020,10,1,TOLUCA
B00719JD,C0061,5,3,TOLUCA
B00720JD,C0053,6,2,TOLUCA
B00721JD,C0060,6,1,TOLUCA
B00722JD,C0038,7,3,TOLUCA
B00723JD,C0023,10,1,TOLUCA
B00724JD,C0050,6,3,TOLUCA
B00725JD,C0064,5,2,TOLUCA
B00726JD,C0017,10,2,TOLUCA
B00727JD,C0063,5,3,TOLUCA
B00728JD,C0075,4,3,TOLUCA
B00729JD,C0052,6,2,TOLUCA
B00730JD,C0038,7,3,TOLUCA
B00731JD,C0036,9,1,TOLUCA
B00732JD,C0038,7,3,TOLUCA
B00733JD,C0038,7,3,TOLUCA
B00734JD,C0038,7,3,TOLUCA
B00735JD,C0081,4,1,TOLUCA
B00736JD,C0039,7,3,TOLUCA
B00737JD,C0021,10,1,TOLUCA
B00738JD,C0025,9,3,TOLUCA
B00739JD,C0020,10,1,TOLUCA
B00740JD,C0039,7,3,TOLUCA
B00741JD,C0024,10,1,TOLUCA
B00742JD,C0037,7,3,TOLUCA
B00743JD,C0038,7,3,TOLUCA
B00744JD,C0023,10,1,TOLUCA
B00745JD,C0039,7,3,TOLUCA
B00746JD,C0026,9,3,TOLUCA
B00747JD,C0091,2,1,TOLUCA
B00748JD,C0026,9,3,TOLUCA
B00749JD,C0039,7,3,TOLUCA
B00750JD,C0040,7,2,TOLUCA
B00751JD,C0039,7,3,TOLUCA
B00752JD,C0028,9,2,TOLUCA
B00753JD,C0018,10,2,TOLUCA
B00754JD,C0023,10,1,TOLUCA
B00755JD,C0026,9,3,TOLUCA
B00756JD,C0027,9,3,TOLUCA
B00757JD,C0021,10,1,TOLUCA
B00758JD,C0025,9,3,TOLUCA
B00759JD,C0025,9,3,TOLUCA
B00760JD,C0025,9,3,TOLUCA
B00761JD,C0026,9,3,TOLUCA
B00762JD,C0028,9,3,TOLUCA
B00763JD,C0021,10,1,TOLUCA
B00764JD,C0021,10,1,TOLUCA
B00765JD,C0028,9,3,TOLUCA
B00766JD,C0027,9,3,TOLUCA
B00767JD,C0026,9,3,TOLUCA
B00768JD,C0026,9,3,TOLUCA
B00769JD,C0077,4,2,TOLUCA
B00770JD,C0021,10,1,TOLUCA
B00771JD,C0074,4,3,TOLUCA
B00772JD,C0074,4,3,TOLUCA
B00773JD,C0063,5,3,TOLUCA
B00774JD,C0074,4,3,TOLUCA
B00775JD,C0020,10,1,TOLUCA
B00776JD,C0026,9,3,TOLUCA
B00777JD,C0023,10,1,TOLUCA
B00778JD,C0025,9,3,TOLUCA
B00779JD,C0026,9,3,TOLUCA
B00780JD,C0039,7,3,TOLUCA
B00781JD,C0020,10,1,TOLUCA
B00782JD,C0039,7,3,TOLUCA
B00783JD,C0029,9,2,TOLUCA
B00784JD,C0025,9,3,TOLUCA
B00785JD,C0039,7,3,TOLUCA
B00786JD,C0039,7,3,TOLUCA
B00787JD,C0026,9,3,TOLUCA
B00788JD,C0023,10,1,TOLUCA
B00789JD,C0037,7,3,TOLUCA
B00790JD,C0081,4,1,TOLUCA
B00791JD,C0035,9,1,TOLUCA
B00792JD,C0036,9,1,TOLUCA
B00793JD,C0037,7,3,TOLUCA
B00794JD,C0020,10,1,TOLUCA
B00795JD,C0026,9,3,TOLUCA
B00796JD,C0028,9,2,TOLUCA
B00797JD,C0026,9,3,TOLUCA
B00798JD,C0063,5,3,TOLUCA
B00799JD,C0065,5,2,TOLUCA
B00800JD,C0091,2,1,TOLUCA
B00801JD,C0026,9,3,TOLUCA
B00802JD,C0026,9,3,TOLUCA
B00803JD,C0089,2,2,TOLUCA
B00804JD,C0026,9,3,TOLUCA
B00805JD,C0026,9,3,TOLUCA
B00806JD,C0025,9,3,TOLUCA
B00807JD,C0038,7,3,TOLUCA
B00808JD,C0038,7,3,TOLUCA
B00809JD,C0039,7,3,TOLUCA
B00810JD,C0020,10,1,TOLUCA
B00811JD,C0039,7,3,TOLUCA
B00812JD,C0038,7,3,TOLUCA
B00813JD,C0038,7,3,TOLUCA
B00814JD,C0036,9,1,TOLUCA
B00815JD,C0036,9,1,TOLUCA
B00816JD,C0035,9,1,TOLUCA
B00817JD,C0037,7,3,TOLUCA
B00818JD,C0037,7,3,TOLUCA
B00819JD,C0026,9,3,TOLUCA
B00820JD,C0026,9,3,TOLUCA
B00821JD,C0074,4,3,TOLUCA
B00822JD,C0023,10,1,TOLUCA
B00823JD,C0079,4,1,TOLUCA
B00824JD,C0091,2,1,TOLUCA
B00825JD,C0076,4,2,TOLUCA
B00826JD,C0035,9,1,TOLUCA
B00827JD,C0022,10,1,TOLUCA
B00828JD,C0023,10,1,TOLUCA
B00829JD,C0064,5,2,TOLUCA
B00830JD,C0076,4,2,TOLUCA
B00831JD,C0063,5,3,TOLUCA
B00832JD,C0023,10,1,TOLUCA
B00833JD,C0046,7,1,TOLUCA
B00834JD,C0022,10,1,TOLUCA
B00835JD,C0067,5,1,TOLUCA
B00836JD,C0063,5,3,TOLUCA
B00837JD,C0065,5,2,TOLUCA
B00838JD,C0064,5,2,TOLUCA
B00839JD,C0065,5,2,TOLUCA
B00840JD,C0063,5,3,TOLUCA
B00841JD,C0063,5,3,TOLUCA
B00842JD,C0076,4,2,TOLUCA
B00843JD,C0091,2,1,TOLUCA
B00844JD,C0065,5,2,TOLUCA
B00845JD,C0063,5,3,TOLUCA
B00846JD,C0076,4,2,TOLUCA
B00847JD,C0077,4,2,TOLUCA
B00848JD,C0065,5,2,TOLUCA
B00849JD,C0065,5,2,TOLUCA
B00850JD,C0063,5,3,TOLUCA
B00851JD,C0082,4,1,TOLUCA
B00852JD,C0064,5,2,TOLUCA
B00853JD,C0064,5,2,TOLUCA
B00854JD,C0022,10,1,TOLUCA
B00855JD,C0065,5,2,TOLUCA
B00856JD,C0065,5,2,TOLUCA
B00857JD,C0067,5,1,TOLUCA
B00858JD,C0065,5,2,TOLUCA
B00859JD,C0065,5,2,TOLUCA
B01004JD,C0018,10,2,TOLUCA
B01016JD,C0076,4,2,TOLUCA
B01017JD,C0046,7,1,TOLUCA
B01018JD,C0076,4,2,TOLUCA
B01019JD,C0075,4,3,TOLUCA
B01020JD,C0022,10,1,TOLUCA
B01021JD,C0079,4,1,TOLUCA
B01022JD,C0065,5,2,TOLUCA
B01023JD,C0065,5,2,TOLUCA
B01024JD,C0075,4,3,TOLUCA
B01025JD,C0065,5,2,TOLUCA
B01026JD,C0065,5,2,TOLUCA
B01027JD,C0089,2,2,TOLUCA
B01028JD,C0089,2,2,TOLUCA
B01029JD,C0089,2,2,TOLUCA
B01030JD,C0089,2,2,TOLUCA
B01031JD,C0082,4,1,TOLUCA
B01032JD,C0082,4,1,TOLUCA
B01033JD,C0082,4,1,TOLUCA
B01034JD,C0066,5,2,TOLUCA
B01035JD,C0063,5,3,TOLUCA
B01036JD,C0076,4,2,TOLUCA
B01037JD,C0089,2,2,TOLUCA
B01038JD,C0089,2,2,TOLUCA
B01039JD,C0089,2,2,TOLUCA
B01040JD,C0088,2,2,TOLUCA
B01041JD,C0088,2,2,TOLUCA
B01042JD,C0088,2,2,TOLUCA
B01043JD,C0088,2,2,TOLUCA
B01044JD,C0088,2,2,TOLUCA
B01045JD,C0088,2,2,TOLUCA
B01046JD,C0082,4,1,TOLUCA
B01047JD,C0082,4,1,TOLUCA
B01048JD,C0021,10,1,TOLUCA
B01049JD,C0088,2,2,TOLUCA
B01050JD,C0077,4,2,TOLUCA
B01051JD,C0082,4,1,TOLUCA
B01052JD,C0078,4,2,TOLUCA
B01053JD,C0082,4,1,TOLUCA
B01056JD,C0021,10,1,TOLUCA
B01075JD,C0041,7,2,TOLUCA
B01089JD,C0047,7,1,TOLUCA
B01090JD,C0047,7,1,TOLUCA
B01091JD,C0047,7,1,TOLUCA
B01092JD,C0046,7,1,TOLUCA
B01093JD,C0046,7,1,TOLUCA
B01094JD,C0046,7,1,TOLUCA
B01095JD,C0046,7,1,TOLUCA
B01096JD,C0046,7,1,TOLUCA
B01097JD,C0046,7,1,TOLUCA
"CE 011JK",C0092,2,1,TOLUCA
CLN008JA,C0092,2,1,TOLUCA
CLN009JA,C0095,2,1,TOLUCA
CLN010JA,C0092,2,1,TOLUCA
CLN011JA,C0095,2,1,TOLUCA
CLN013JA,C0092,2,1,TOLUCA
CLN014JA,C0092,2,1,TOLUCA
CLN015JA,C0092,2,1,TOLUCA
CLN017JA,C0029,9,2,TOLUCA
CLN018JA,C0095,2,1,TOLUCA
CLN019JA,C0095,2,1,TOLUCA
CLN058JA,C0095,2,1,TOLUCA
CLN070JA,C0092,2,1,TOLUCA
CLN072JA,C0092,2,1,TOLUCA
CLN073JA,C0092,2,1,TOLUCA
CLN074JA,C0092,2,1,TOLUCA
CLN075JA,C0092,2,1,TOLUCA
CLN076JA,C0092,2,1,TOLUCA
CLN077JA,C0095,2,1,TOLUCA
CLN078JA,C0092,2,1,TOLUCA
CLN079JA,C0092,2,1,TOLUCA
CLN080JA,C0092,2,1,TOLUCA
CLN081JA,C0092,2,1,TOLUCA
CLN082JA,C0092,2,1,TOLUCA
CLN083JA,C0092,2,1,TOLUCA
CLN085JA,C0092,2,1,TOLUCA
CLN086JA,C0095,2,1,TOLUCA
CLN087JA,C0095,2,1,TOLUCA
CLN088JA,C0095,2,1,TOLUCA
CLN089JA,C0092,2,1,TOLUCA
CLN090JA,C0092,2,1,TOLUCA
CLN091JA,C0092,2,1,TOLUCA
CLN093JA,C0092,2,1,TOLUCA
CLN094JA,C0092,2,1,TOLUCA
CLN095JA,C0092,2,1,TOLUCA
CLN098JA,C0095,2,1,TOLUCA
CLN771JA,C0092,2,1,TOLUCA
E00000JD,C0040,7,2,TOLUCA
E00006JD,C0040,7,2,TOLUCA
E00007JD,C0040,7,2,TOLUCA
E00008JD,C0040,7,2,TOLUCA
E00009JD,C0041,7,2,TOLUCA
E00010JD,C0042,7,2,TOLUCA
E00011JD,C0042,7,2,TOLUCA
E00012JD,C0040,7,2,TOLUCA
E00013JD,C0040,7,2,TOLUCA
E00014JD,C0020,10,1,TOLUCA
E00015JD,C0083,4,1,TOLUCA
E00016JD,C0018,10,2,TOLUCA
E00017JD,C0083,4,1,TOLUCA
E00171JD,C0080,4,1,TOLUCA
E00174JD,C0080,4,1,TOLUCA
E00446JD,C0021,10,1,TOLUCA
E00479JD,C0062,5,3,TOLUCA
E00480JD,C0062,5,3,TOLUCA
E00481JD,C0072,5,1,TOLUCA
E00527JD,C0021,10,1,TOLUCA
E00528JD,C0074,4,3,TOLUCA
E00531JD,C0066,5,2,TOLUCA
E00534JD,C0070,5,1,TOLUCA
E00535JD,C0066,5,2,TOLUCA
E00536JD,C0089,2,2,TOLUCA
E00537JD,C0066,5,2,TOLUCA
E00538JD,C0070,5,1,TOLUCA
E00539JD,C0074,4,3,TOLUCA
E00540JD,C0062,5,3,TOLUCA
E00541JD,C0066,5,2,TOLUCA
E00542JD,C0066,5,2,TOLUCA
E00558JD,C0068,5,1,TOLUCA
E00559JD,C0068,5,1,TOLUCA
E00560JD,C0068,5,1,TOLUCA
E00561JD,C0066,5,2,TOLUCA
E00562JD,C0066,5,2,TOLUCA
E00563JD,C0070,5,1,TOLUCA
E00564JD,C0059,6,1,TOLUCA
E00565JD,C0064,5,2,TOLUCA
E00566JD,C0070,5,1,TOLUCA
E00567JD,C0053,6,2,TOLUCA
E00568JD,C0059,6,1,TOLUCA
E00569JD,C0018,10,2,TOLUCA
E00570JD,C0062,5,3,TOLUCA
E00571JD,C0063,5,3,TOLUCA
E00572JD,C0065,5,2,TOLUCA
E00573JD,C0062,5,3,TOLUCA
E00574JD,C0062,5,3,TOLUCA
E00639JD,C0055,6,1,TOLUCA
E00640JD,C0070,5,1,TOLUCA
E00641JD,C0082,4,1,TOLUCA
E00642JD,C0055,6,1,TOLUCA
E00643JD,C0055,6,1,TOLUCA
E00644JD,C0070,5,1,TOLUCA
E00645JD,C0066,5,2,TOLUCA
E00646JD,C0075,4,3,TOLUCA
E00647JD,C0023,10,1,TOLUCA
E00648JD,C0070,5,1,TOLUCA
E00649JD,C0024,10,1,TOLUCA
E00650JD,C0024,10,1,TOLUCA
E00651JD,C0038,7,3,TOLUCA
E00652JD,C0026,9,3,TOLUCA
E00653JD,C0024,10,1,TOLUCA
E00654JD,C0024,10,1,TOLUCA
E00655JD,C0024,10,1,TOLUCA
E00656JD,C0036,9,1,TOLUCA
E00657JD,C0036,9,1,TOLUCA
E00658JD,C0031,9,1,TOLUCA
E00659JD,C0018,10,2,TOLUCA
E00660JD,C0031,9,1,TOLUCA
E00661JD,C0031,9,1,TOLUCA
E00662JD,C0024,10,1,TOLUCA
E00663JD,C0036,9,1,TOLUCA
E00664JD,C0030,9,2,TOLUCA
E00665JD,C0031,9,1,TOLUCA
E00666JD,C0020,10,1,TOLUCA
E00667JD,C0062,5,3,TOLUCA
E00668JD,C0074,4,3,TOLUCA
E00669JD,C0031,9,1,TOLUCA
E00670JD,C0063,5,3,TOLUCA
E00671JD,C0062,5,3,TOLUCA
E00672JD,C0054,6,2,TOLUCA
E00673JD,C0070,5,1,TOLUCA
E00674JD,C0038,7,3,TOLUCA
E00675JD,C0038,7,3,TOLUCA
E00676JD,C0039,7,3,TOLUCA
E00677JD,C0038,7,3,TOLUCA
E00678JD,C0038,7,3,TOLUCA
E00679JD,C0039,7,3,TOLUCA
E00680JD,C0062,5,3,TOLUCA
E00681JD,C0052,6,2,TOLUCA
E00682JD,C0024,10,1,TOLUCA
E00683JD,C0039,7,3,TOLUCA
E00684JD,C0054,6,2,TOLUCA
E00718JD,C0042,7,2,TOLUCA
E00719JD,C0038,7,3,TOLUCA
E00720JD,C0042,7,2,TOLUCA
E00721JD,C0042,7,2,TOLUCA
E00722JD,C0062,5,3,TOLUCA
E00723JD,C0062,5,3,TOLUCA
E00724JD,C0042,7,2,TOLUCA
E00725JD,C0080,4,1,TOLUCA
E00726JD,C0042,7,2,TOLUCA
E00727JD,C0077,4,2,TOLUCA
E00784JD,C0024,10,1,TOLUCA
E00785JD,C0039,7,3,TOLUCA
E00786JD,C0025,9,3,TOLUCA
E00787JD,C0024,10,1,TOLUCA
E00788JD,C0038,7,3,TOLUCA
E00789JD,C0036,9,1,TOLUCA
E00790JD,C0038,7,3,TOLUCA
E00791JD,C0035,9,1,TOLUCA
E00792JD,C0036,9,1,TOLUCA
E00794JD,C0036,9,1,TOLUCA
E00795JD,C0024,10,1,TOLUCA
E00796JD,C0025,9,3,TOLUCA
E00797JD,C0027,9,3,TOLUCA
E00798JD,C0066,5,2,TOLUCA
E00799JD,C0062,5,3,TOLUCA
E00800JD,C0066,5,2,TOLUCA
E00801JD,C0025,9,3,TOLUCA
E00802JD,C0027,9,3,TOLUCA
E00803JD,C0025,9,3,TOLUCA
E00804JD,C0025,9,3,TOLUCA
E00805JD,C0025,9,3,TOLUCA
E00807JD,C0027,9,3,TOLUCA
E00809JD,C0038,7,3,TOLUCA
E00810JD,C0039,7,3,TOLUCA
E00811JD,C0038,7,3,TOLUCA
E00815JD,C0036,9,1,TOLUCA
E00816JD,C0035,9,1,TOLUCA
E00821JD,C0035,9,1,TOLUCA
E00822JD,C0077,4,2,TOLUCA
E00823JD,C0077,4,2,TOLUCA
E00824JD,C0020,10,1,TOLUCA
E00825JD,C0035,9,1,TOLUCA
E00826JD,C0035,9,1,TOLUCA
E00827JD,C0091,2,1,TOLUCA
E00828JD,C0080,4,1,TOLUCA
E00829JD,C0066,5,2,TOLUCA
E00830JD,C0059,6,1,TOLUCA
E00831JD,C0077,4,2,TOLUCA
E00832JD,C0059,6,1,TOLUCA
E00833JD,C0055,6,1,TOLUCA
E00834JD,C0055,6,1,TOLUCA
E00835JD,C0059,6,1,TOLUCA
E00836JD,C0059,6,1,TOLUCA
E00837JD,C0059,6,1,TOLUCA
E00838JD,C0059,6,1,TOLUCA
E00839JD,C0059,6,1,TOLUCA
E00840JD,C0059,6,1,TOLUCA
E00841JD,C0075,4,3,TOLUCA
E00842JD,C0066,5,2,TOLUCA
E00843JD,C0047,7,1,TOLUCA
E00844JD,C0062,5,3,TOLUCA
E00845JD,C0075,4,3,TOLUCA
E00846JD,C0077,4,2,TOLUCA
E00847JD,C0063,5,3,TOLUCA
E00848JD,C0066,5,2,TOLUCA
E00849JD,C0074,4,3,TOLUCA
E00850JD,C0091,2,1,TOLUCA
E00851JD,C0074,4,3,TOLUCA
E00852JD,C0077,4,2,TOLUCA
E00853JD,C0077,4,2,TOLUCA
E00854JD,C0066,5,2,TOLUCA
E00855JD,C0066,5,2,TOLUCA
E00856JD,C0066,5,2,TOLUCA
E00857JD,C0066,5,2,TOLUCA
E00858JD,C0066,5,2,TOLUCA
E00859JD,C0065,5,2,TOLUCA
E00870JD,C0065,5,2,TOLUCA
E00871JD,C0065,5,2,TOLUCA
E00872JD,C0066,5,2,TOLUCA
E00873JD,C0062,5,3,TOLUCA
E00877JD,C0021,10,1,TOLUCA
E00888JD,C0062,5,3,TOLUCA
E00890JD,C0062,5,3,TOLUCA
E00891JD,C0062,5,3,TOLUCA
E00892JD,C0062,5,3,TOLUCA
E00893JD,C0066,5,2,TOLUCA
E00894JD,C0080,4,1,TOLUCA
E00895JD,C0077,4,2,TOLUCA
E00896JD,C0077,4,2,TOLUCA
E00897JD,C0066,5,2,TOLUCA
E00898JD,C0066,5,2,TOLUCA
E00899JD,C0066,5,2,TOLUCA
E00900JD,C0066,5,2,TOLUCA
E00901JD,C0077,4,2,TOLUCA
E00902JD,C0077,4,2,TOLUCA
E00903JD,C0075,4,3,TOLUCA
E00904JD,C0075,4,3,TOLUCA
E00905JD,C0077,4,2,TOLUCA
E00906JD,C0042,7,2,TOLUCA
E00907JD,C0043,7,1,TOLUCA
E00908JD,C0077,4,2,TOLUCA
E00909JD,C0074,4,3,TOLUCA
E00910JD,C0077,4,2,TOLUCA
E00911JD,C0043,7,1,TOLUCA
E00912JD,C0043,7,1,TOLUCA
E00913JD,C0077,4,2,TOLUCA
E00918JD,C0059,6,1,TOLUCA
E00919JD,C0059,6,1,TOLUCA
E00920JD,C0059,6,1,TOLUCA
E00937JD,C0059,6,1,TOLUCA
E00939JD,C0059,6,1,TOLUCA
E00941JD,C0078,4,2,TOLUCA
E01040JD,C0041,7,2,TOLUCA
E01041JD,C0082,4,1,TOLUCA
E01042JD,C0082,4,1,TOLUCA
E01043JD,C0082,4,1,TOLUCA
E01044JD,C0082,4,1,TOLUCA
E01045JD,C0041,7,2,TOLUCA
E01046JD,C0075,4,3,TOLUCA
E01047JD,C0037,7,3,TOLUCA
E01048JD,C0082,4,1,TOLUCA
E01049JD,C0066,5,2,TOLUCA
E01050JD,C0063,5,3,TOLUCA
E01051JD,C0082,4,1,TOLUCA
E01052JD,C0019,10,1,TOLUCA
E01053JD,C0019,10,1,TOLUCA
E01054JD,C0019,10,1,TOLUCA
E01055JD,C0021,10,1,TOLUCA
E01056JD,C0019,10,1,TOLUCA
E01057JD,C0020,10,1,TOLUCA
E01058JD,C0019,10,1,TOLUCA
E01059JD,C0021,10,1,TOLUCA
E01060JD,C0021,10,1,TOLUCA
E01061JD,C0041,7,2,TOLUCA
E01062JD,C0041,7,2,TOLUCA
E01063JD,C0041,7,2,TOLUCA
E01064JD,C0041,7,2,TOLUCA
E01065JD,C0041,7,2,TOLUCA
E01066JD,C0018,10,2,TOLUCA
E01067JD,C0017,10,2,TOLUCA
E01068JD,C0041,7,2,TOLUCA
E01069JD,C0041,7,2,TOLUCA
E01070JD,C0041,7,2,TOLUCA
E01071JD,C0041,7,2,TOLUCA
E01072JD,C0041,7,2,TOLUCA
E01073JD,C0041,7,2,TOLUCA
E01074JD,C0082,4,1,TOLUCA
E01075JD,C0083,4,1,TOLUCA
E01076JD,C0082,4,1,TOLUCA
E01077JD,C0080,4,1,TOLUCA
E01078JD,C0080,4,1,TOLUCA
E01079JD,C0018,10,2,TOLUCA
E01080JD,C0083,4,1,TOLUCA
E01081JD,C0047,7,1,TOLUCA
E01082JD,C0082,4,1,TOLUCA
E01083JD,C0080,4,1,TOLUCA
E01084JD,C0083,4,1,TOLUCA
E01085JD,C0022,10,1,TOLUCA
E01086JD,C0047,7,1,TOLUCA
E01087JD,C0074,4,3,TOLUCA
E01088JD,C0083,4,1,TOLUCA
E01089JD,C0047,7,1,TOLUCA
E01090JD,C0022,10,1,TOLUCA
E01091JD,C0019,10,1,TOLUCA
E01092JD,C0018,10,2,TOLUCA
E01093JD,C0018,10,2,TOLUCA
E01094JD,C0047,7,1,TOLUCA
E01095JD,C0022,10,1,TOLUCA
E01096JD,C0080,4,1,TOLUCA
E01097JD,C0047,7,1,TOLUCA
E01098JD,C0018,10,2,TOLUCA
E01099JD,C0083,4,1,TOLUCA
E01100JD,C0083,4,1,TOLUCA
E01101JD,C0047,7,1,TOLUCA
E01102JD,C0080,4,1,TOLUCA
E01103JD,C0022,10,1,TOLUCA
E01104JD,C0017,10,2,TOLUCA
E01105JD,C0047,7,1,TOLUCA
E01106JD,C0047,7,1,TOLUCA
E01107JD,C0082,4,1,TOLUCA
E01108JD,C0022,10,1,TOLUCA
E01109JD,C0018,10,2,TOLUCA
E01110JD,C0022,10,1,TOLUCA
E01111JD,C0022,10,1,TOLUCA
E01112JD,C0082,4,1,TOLUCA
E01113JD,C0080,4,1,TOLUCA
E01114JD,C0022,10,1,TOLUCA
E01115JD,C0083,4,1,TOLUCA
E01116JD,C0083,4,1,TOLUCA
E01117JD,C0083,4,1,TOLUCA
E01118JD,C0080,4,1,TOLUCA
E01119JD,C0018,10,2,TOLUCA
T00000JD,C0017,10,2,TOLUCA
T00001JD,C0017,10,2,TOLUCA
T00002JD,C0062,5,3,TOLUCA
T00003JD,C0052,6,2,TOLUCA
T00004JD,C0017,10,2,TOLUCA
T00005JD,C0017,10,2,TOLUCA
T00006JD,C0059,6,1,TOLUCA
T00007JD,C0017,10,2,TOLUCA
T00008JD,C0019,10,1,TOLUCA
T00009JD,C0019,10,1,TOLUCA
T00010JD,C0059,6,1,TOLUCA
T00011JD,C0017,10,2,TOLUCA
T00012JD,C0059,6,1,TOLUCA
T00013JD,C0017,10,2,TOLUCA
T00014JD,C0017,10,2,TOLUCA
T00015JD,C0017,10,2,TOLUCA
T00016JD,C0019,10,1,TOLUCA
T00017JD,C0019,10,1,TOLUCA
T00018JD,C0017,10,2,TOLUCA
T00019JD,C0017,10,2,TOLUCA
T00020JD,C0062,5,3,TOLUCA
T00021JD,C0018,10,2,TOLUCA
T00022JD,C0042,7,2,TOLUCA
T00023JD,C0052,6,2,TOLUCA
T00024JD,C0042,7,2,TOLUCA
T00025JD,C0042,7,2,TOLUCA
T00026JD,C0042,7,2,TOLUCA
T00027JD,C0063,5,3,TOLUCA
T00028JD,C0042,7,2,TOLUCA
T00029JD,C0042,7,2,TOLUCA
T00030JD,C0042,7,2,TOLUCA
T00031JD,C0042,7,2,TOLUCA
T00032JD,C0042,7,2,TOLUCA
T00033JD,C0056,6,1,TOLUCA
T00034JD,C0019,10,1,TOLUCA
T00035JD,C0052,6,2,TOLUCA
T00036JD,C0019,10,1,TOLUCA
T00037JD,C0019,10,1,TOLUCA
T00038JD,C0019,10,1,TOLUCA
T00039JD,C0019,10,1,TOLUCA
